sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price
90,2.0,2,6,0,1,1,0,0,0,0, Chamberí , Almagro ,1671,2327,2,20.0,8,0,1800.0
65,2.0,2,4,0,1,1,1,0,1,0, Arganzuela , Acacias ,1094,1044,5,16.923076923076923,5,0,1100.0
80,2.0,2,4,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,4,15.0,5,0,1200.0
40,2.0,1,1,0,0,0,0,0,0,0, Arganzuela , Acacias ,1094,1044,0,20.0,5,0,800.0
75,3.0,1,9,0,0,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,3,14.666666666666666,4,0,1100.0
87,3.0,1,4,0,0,1,1,1,0,0, Vicálvaro , Casco Histórico de Vicálvaro ,839,888,2,8.620689655172415,1,0,750.0
140,4.0,2,4,1,0,1,1,0,0,0, Hortaleza , Apóstol Santiago ,2693,1329,3,11.785714285714286,1,0,1650.0
93,2.0,2,1,0,1,1,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,22.580645161290324,7,0,2100.0
80,3.0,1,3,0,0,0,1,0,0,0, Chamberí , Arapiles ,1671,1325,0,18.75,7,0,1500.0
90,3.0,2,6,0,1,1,1,0,0,0, Villaverde , Butarque ,843,830,5,9.444444444444445,0,0,850.0
70,1.0,1,0,0,0,0,1,1,0,0, Ciudad Lineal , Concepción ,1263,1073,4,18.571428571428573,4,0,1300.0
91,3.0,1,5,0,0,1,1,1,0,0, Latina , Aluche ,992,920,2,10.43956043956044,1,0,950.0
110,3.0,2,4,0,1,0,1,0,0,0, Arganzuela , Acacias ,1094,1044,1,11.363636363636363,5,0,1250.0
40,1.0,1,1,0,1,1,1,0,1,0, Chamberí , Arapiles ,1671,1325,3,23.75,7,0,950.0
50,2.0,1,1,0,1,1,0,0,0,0, Arganzuela , Acacias ,1094,1044,3,18.0,5,0,900.0
65,2.0,1,0,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,5,16.153846153846153,5,0,1050.0
34,1.0,1,3,0,1,0,1,0,0,0, Retiro , Adelfas ,1790,1494,2,25.0,5,0,850.0
120,4.0,2,2,0,0,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,2,12.5,5,0,1500.0
155,4.0,3,7,0,1,1,1,1,0,0, Chamberí , Almagro ,1671,2327,3,19.35483870967742,8,0,3000.0
86,3.0,1,4,1,1,1,1,1,0,1, San Blas , Canillejas ,1071,1182,6,10.755813953488373,1,0,925.0
110,3.0,2,2,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,3,12.727272727272727,5,0,1400.0
80,2.0,2,2,0,1,1,1,0,0,0, Villaverde , Butarque ,843,830,5,10.625,0,0,850.0
147,4.0,2,2,0,1,1,1,1,1,1, Latina , Los Cármenes ,992,972,7,13.26530612244898,2,0,1950.0
34,1.0,1,2,0,1,1,1,0,0,1, Chamberí , Almagro ,1671,2327,3,32.35294117647059,8,0,1100.0
88,2.0,2,1,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,5,13.636363636363637,5,0,1200.0
140,4.0,3,1,0,1,1,1,1,0,1, Latina , Aluche ,992,920,6,11.428571428571429,1,0,1600.0
49,1.0,1,1,0,1,1,1,0,0,1, Latina , Aluche ,992,920,4,16.3265306122449,1,0,800.0
70,2.0,1,4,0,0,0,1,0,1,1, Arganzuela , Acacias ,1094,1044,3,13.571428571428571,5,0,950.0
68,2.0,1,1,0,0,0,1,0,1,0, Chamberí , Almagro ,1671,2327,1,17.647058823529413,8,0,1200.0
90,3.0,1,4,0,1,0,1,1,0,0, Chamberí , Arapiles ,1671,1325,3,18.333333333333332,7,0,1650.0
100,3.0,2,3,0,1,1,1,0,0,1, Retiro , Adelfas ,1790,1494,7,14.0,5,0,1400.0
116,3.0,2,7,1,0,1,1,0,0,0, Hortaleza , Apóstol Santiago ,2693,1329,4,10.344827586206897,1,0,1200.0
110,2.0,1,6,0,1,0,1,0,0,1, Usera , Almendrales ,932,1108,3,11.363636363636363,3,0,1250.0
90,2.0,2,3,0,0,1,1,1,0,0, San Blas , Arcos ,1071,861,5,12.777777777777779,2,0,1150.0
71,2.0,1,5,0,1,1,1,0,0,1, Arganzuela , Acacias ,1094,1044,5,20.422535211267604,5,0,1450.0
40,1.0,1,0,0,0,0,0,0,0,0, Arganzuela , Acacias ,1094,1044,1,12.5,5,0,500.0
82,2.0,1,3,0,1,1,1,0,0,0, Retiro , Adelfas ,1790,1494,6,18.29268292682927,5,0,1500.0
85,1.0,1,6,0,0,1,1,1,0,0, Moncloa , Argüelles ,2151,1727,3,17.058823529411764,6,0,1450.0
40,1.0,1,1,0,0,1,1,0,0,0, Chamberí , Almagro ,1671,2327,2,18.75,8,0,750.0
247,3.0,2,4,0,1,1,1,1,1,0, Moncloa , Aravaca ,2151,2367,7,14.17004048582996,4,0,3500.0
50,1.0,1,1,0,0,1,1,0,0,0, Usera , Almendrales ,932,1108,3,15.98,3,0,799.0
65,2.0,1,8,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,2,15.384615384615385,5,0,1000.0
40,1.0,1,1,0,1,1,1,0,0,0, Tetuán , Bellas Vistas ,1190,969,3,15.625,5,0,625.0
40,1.0,1,3,0,1,1,0,0,0,0, Arganzuela , Acacias ,1094,1044,3,19.25,5,0,770.0
39,1.0,1,3,0,0,1,0,0,0,0, Arganzuela , Acacias ,1094,1044,1,25.615384615384617,5,0,999.0
72,3.0,1,6,1,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,3,17.36111111111111,5,0,1250.0
58,2.0,1,0,0,0,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,1,11.89655172413793,5,0,690.0
36,1.0,1,3,0,1,1,1,1,0,1, Arganzuela , Acacias ,1094,1044,7,26.38888888888889,5,0,950.0
100,3.0,1,0,0,1,1,1,1,1,0, Arganzuela , Acacias ,1094,1044,4,22.0,5,0,2200.0
60,1.0,1,0,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,0,12.666666666666666,7,0,760.0
60,1.0,1,6,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,5,18.333333333333332,5,0,1100.0
100,4.0,2,7,0,0,0,1,1,0,0, Latina , Aluche ,992,920,2,11.0,1,0,1100.0
40,1.0,1,2,0,1,1,0,0,0,0, Chamberí , Almagro ,1671,2327,2,22.5,8,0,900.0
70,1.0,1,0,1,1,1,0,1,0,0, Chamberí , Almagro ,1671,2327,6,17.857142857142858,8,0,1250.0
63,1.0,1,3,0,1,1,1,1,0,1, Villa de Vallecas , Casco Histórico de Vallecas ,840,817,4,13.492063492063492,0,0,850.0
94,2.0,2,4,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,5,17.02127659574468,5,0,1600.0
68,2.0,2,4,0,1,0,1,1,0,0, Arganzuela , Acacias ,1094,1044,3,14.338235294117647,5,0,975.0
50,1.0,1,0,0,1,1,1,0,0,0, Latina , Campamento ,992,929,3,16.0,2,0,800.0
100,3.0,2,2,0,1,1,0,1,0,1, Hortaleza , Apóstol Santiago ,2693,1329,4,12.75,1,1,1275.0
81,2.0,1,5,0,0,1,1,1,0,0, Arganzuela , Acacias ,1094,1044,4,13.580246913580247,5,0,1100.0
85,3.0,1,4,0,1,0,1,1,1,0, San Blas , Canillejas ,1071,1182,4,11.176470588235293,1,0,950.0
170,4.0,3,4,1,1,1,0,0,0,1, Chamberí , Almagro ,1671,2327,4,17.647058823529413,8,0,3000.0
75,1.0,1,0,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,10.666666666666666,2,0,800.0
120,3.0,2,1,0,1,1,1,0,0,1, Moncloa , Aravaca ,2151,2367,5,12.083333333333334,4,0,1450.0
120,3.0,2,1,0,1,1,1,0,0,1, Moncloa , Aravaca ,2151,2367,7,16.666666666666668,4,0,2000.0
93,2.0,2,3,0,1,1,1,0,0,1, Retiro , Adelfas ,1790,1494,6,13.978494623655914,5,0,1300.0
76,2.0,1,6,1,0,1,1,1,0,0, Latina , Aluche ,992,920,3,11.18421052631579,1,0,850.0
55,1.0,1,5,0,1,1,1,0,0,0, Retiro , Adelfas ,1790,1494,3,15.454545454545455,5,0,850.0
75,2.0,1,3,1,0,1,1,1,0,0, Latina , Aluche ,992,920,3,10.666666666666666,1,0,800.0
40,1.0,1,0,0,0,1,0,0,0,0, Ciudad Lineal , Concepción ,1263,1073,2,18.125,4,0,725.0
159,4.0,2,3,1,1,1,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,11.949685534591195,5,0,1900.0
69,1.0,1,2,0,1,1,1,1,1,0, Chamberí , Almagro ,1671,2327,4,21.73913043478261,8,0,1500.0
74,2.0,1,4,0,1,1,1,1,0,0, Latina , Campamento ,992,929,5,16.216216216216218,2,0,1200.0
62,1.0,1,3,0,1,1,1,0,0,0, Latina , Campamento ,992,929,2,12.096774193548388,2,0,750.0
50,2.0,1,3,0,0,0,0,1,0,0, Retiro , Adelfas ,1790,1494,1,16.6,5,0,830.0
129,3.0,2,3,0,1,1,1,1,0,0, Latina , Campamento ,992,929,6,8.527131782945736,2,0,1100.0
82,2.0,2,2,1,1,1,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,18.170731707317074,5,0,1490.0
